term,frequency,present
abandon,0,0
abbott,3,1
abdirahman,0,0
abdulelah,0,0
abid,0,0
abil,1,1
abiot,0,0
abl,0,0
abnett,0,0
abnorm,0,0
aboutcom,0,0
abridg,0,0
absorb,0,0
abstract,0,0
absurd,0,0
abu,0,0
abund,0,0
academ,0,0
academi,0,0
acb,0,0
acceler,0,0
accept,0,0
access,1,1
accord,4,1
account,0,0
accumul,0,0
achiev,0,0
acknowledg,1,1
acquir,0,0
acquisit,0,0
acr,0,0
across,4,1
acsestc,0,0
act,0,0
actinid,0,0
action,0,0
activ,0,0
actual,0,0
actuat,0,0
adag,1,1
adapt,0,0
add,0,0
addit,1,1
address,0,0
adequ,0,0
adjust,1,1
administr,0,0
adopt,0,0
adriana,0,0
advanc,0,0
advantag,0,0
advertis,0,0
advic,0,0
adynkiewiczpiraga,0,0
aerial,1,1
aerodynam,0,0
aerospac,0,0
aesthet,0,0
afework,0,0
affair,0,0
affect,0,0
afford,0,0
afghanistan,0,0
africa,0,0
african,0,0
age,0,0
agenc,0,0
agenda,0,0
agflat,0,0
aggreg,0,0
agn,0,0
agnieszka,0,0
ago,2,1
agre,0,0
agreement,0,0
agricultur,0,0
agrivolta,0,0
ahead,0,0
ahmad,0,0
aim,0,0
air,0,0
airborn,0,0
aircraft,0,0
ajanov,0,0
ajit,0,0
akhtar,0,0
alajban,0,0
alastair,0,0
albania,0,0
albert,0,0
alcohol,0,0
aleh,0,0
alexand,0,0
alfalfa,0,0
alga,0,0
algal,0,0
alhuyi,0,0
ali,0,0
alicja,0,0
alison,0,0
allevi,1,1
allow,0,0
allyson,0,0
almahmoud,0,0
almost,0,0
alon,0,0
along,1,1
alonzotexa,2,1
alreadi,1,1
also,4,1
altamirano,0,0
alter,0,0
altern,0,0
although,1,1
aluminum,0,0
alway,0,0
amanda,0,0
ambros,0,0
amela,0,0
america,0,0
american,0,0
amit,0,0
among,0,0
amori,0,0
amount,0,0
amphibian,0,0
ana,0,0
anabel,0,0
analys,0,0
analysi,0,0
analyst,0,0
analyt,0,0
analyz,0,0
ancestr,0,0
ancient,0,0
ancillari,0,0
ander,0,0
anderson,0,0
andrea,0,0
andrew,0,0
ang,0,0
angel,0,0
angliviel,0,0
angola,0,0
anim,0,0
animalbas,0,0
anna,0,0
annakatharina,0,0
announc,0,0
annual,0,0
annurevenviron,0,0
anoth,0,0
answer,1,1
anthoni,0,0
anthrop,0,0
anthropocen,0,0
anthropogen,0,0
anticonsumer,0,0
antinuclear,0,0
antirenew,0,0
antoni,0,0
anyth,0,0
anytim,0,0
anywher,0,0
apart,0,0
ape,0,0
apenb,0,0
apenl,0,0
app,0,0
appear,0,0
appli,0,0
applic,0,0
approach,0,0
appropri,0,0
approxim,0,0
april,3,1
aquat,0,0
aqueduct,0,0
aquif,0,0
arabia,0,0
arabl,0,0
archer,0,0
archimed,0,0
architectur,0,0
archiv,0,0
arco,0,0
arcolog,0,0
arctictoday,0,0
area,1,1
arent,1,1
arera,0,0
argentina,0,0
argonn,0,0
argument,0,0
arid,0,0
arif,0,0
arjen,0,0
armaroli,0,0
armenia,0,0
armstrong,0,0
arnett,0,0
around,0,0
array,0,0
art,0,0
articl,0,0
artifici,0,0
arundo,0,0
arxiv,0,0
arya,0,0
ashish,0,0
ashley,2,1
asia,0,0
asid,0,0
ask,1,1
aslam,0,0
aspect,0,0
assaf,0,0
assan,0,0
assembl,0,0
assess,0,0
asset,0,0
associ,0,0
assum,0,0
atacama,0,0
atb,0,0
athanasio,0,0
atlant,0,0
atmospher,0,0
atom,0,0
att,0,0
attach,0,0
attack,0,0
attempt,1,1
attent,0,0
attitud,0,0
attract,0,0
attribut,0,0
atul,0,0
auction,0,0
audio,2,1
audit,0,0
august,0,0
australia,0,0
austria,0,0
author,0,0
auto,0,0
auxiliari,0,0
avail,0,0
averag,0,0
aviat,0,0
avoid,1,1
awar,0,0
away,0,0
axi,0,0
ayob,0,0
azevedo,0,0
aztec,0,0
babassu,0,0
back,4,1
backdoor,0,0
bagass,0,0
bakker,0,0
balanc,0,0
balloon,0,0
balzani,0,0
ban,1,1
bangalor,0,0
bangladesh,0,0
bank,0,0
barbero,0,0
barcelona,0,0
bare,1,1
bargain,0,0
barn,0,0
barrag,0,0
barrier,0,0
base,0,0
baselin,0,0
basic,0,0
basin,0,0
basto,0,0
bastrikov,0,0
bat,0,0
bath,0,0
bathtub,0,0
batteri,0,0
batterybas,0,0
battl,0,0
batut,0,0
baxter,0,0
bazilian,0,0
bbc,0,0
bbz,0,0
beam,0,0
bear,0,0
bearak,0,0
beatric,0,0
beaumell,0,0
becam,0,0
becker,0,0
becom,3,1
beer,0,0
beet,0,0
begin,0,0
begonia,0,0
begun,0,0
behav,0,0
behavior,0,0
behaviour,0,0
behind,0,0
behren,0,0
beij,0,0
belarus,0,0
belfer,0,0
belgium,0,0
believ,0,0
bell,0,0
bella,0,0
belong,0,0
bend,0,0
beneath,0,0
benefit,0,0
benjamin,0,0
bergkvist,0,0
berlin,0,0
bernard,0,0
bert,0,0
best,0,0
bethel,0,0
better,0,0
betz,0,0
bfs,0,0
bhutan,0,0
bibcod,0,0
bicycl,0,0
big,0,0
biggest,0,0
bill,0,0
billion,3,1
billion—a,0,0
bin,0,0
binari,0,0
bind,0,0
bingham,0,0
bio,0,0
biobutanol,0,0
bioconvers,0,0
biodiesel,0,0
biodivers,0,0
bioenergi,0,0
bioethanol,0,0
biofuc,0,0
biofuel,0,0
bioga,0,0
biogasolin,0,0
biojet,0,0
bioliquid,0,0
biolog,0,0
biomass,0,0
biomedicin,0,0
biorefineri,0,0
bioretent,0,0
biosecur,0,0
biospher,0,0
bioswal,0,0
biotechnolog,0,0
biotic,0,0
bird,0,0
birol,0,0
bis,0,0
bjørn,0,0
blade,0,0
blame,0,0
blanchard,0,0
blank,1,1
block,0,0
blok,0,0
bloom,0,0
bloomberg,0,0
bloombergcom,0,0
bloombergnef,0,0
blue,0,0
bluestem,0,0
blunt,1,1
bnefcom,0,0
bnf,0,0
board,1,1
boat,0,0
boca,0,0
bodi,0,0
boehm,0,0
bogdanov,0,0
boil,0,0
bolivia,0,0
bomm,0,0
bond,0,0
bonn,0,0
book,0,0
boom,0,0
boon,0,0
boost,0,0
bopp,0,0
born,0,0
bottl,0,0
boundari,0,0
bounti,0,0
bowen,0,0
box,0,0
boy,1,1
brace,1,1
brackish,0,0
bram,0,0
branch,0,0
brand,0,0
brandon,0,0
brazil,0,0
brazilian,0,0
break,0,0
breakthrough,0,0
breath,0,0
breeder,0,0
breivik,0,0
brennstoff,0,0
breweri,0,0
breyer,0,0
brian,0,0
briann,0,0
brick,0,0
bridg,0,0
brief,0,0
briefli,0,0
bright,0,0
bring,1,1
britain,0,0
british,0,0
broad,0,0
broader,0,0
broek,0,0
bront,0,0
brotosudarmo,0,0
brought,1,1
brown,0,0
brownfield,0,0
browser,0,0
bruce,0,0
brundtland,0,0
brundtlandt,0,0
brunei,0,0
brusa,0,0
brush,0,0
brussel,0,0
bucher,0,0
budget,0,0
budolfson,0,0
buerhop,0,0
build,0,0
buildingintegr,0,0
buildingmount,0,0
built,1,1
builtup,0,0
buitenhui,0,0
bulk,0,0
bullard,0,0
bulletin,0,0
burbo,0,0
burden,0,0
burger,0,0
burk,0,0
burn,0,0
burrow,0,0
bus,0,0
busi,0,0
butler,0,0
butlersloss,0,0
buy,0,0
buyer,0,0
bußmann,0,0
byrn,0,0
byung,0,0
béla,0,0
böll,0,0
cai,0,0
calcul,0,0
california,0,0
call,1,1
calori,0,0
cambridg,0,0
came,0,0
camelina,0,0
campaign,0,0
canada,0,0
canadel,0,0
canal,0,0
cane,0,0
cannot,0,0
cant,0,0
canyon,1,1
