term,frequency,present
absorb,0,0
access,1,1
accumul,0,0
activ,0,0
adapt,0,0
address,0,0
adopt,0,0
advanc,0,0
affect,1,1
afford,0,0
agreement,0,0
agricultur,1,1
aim,0,0
also,0,0
alter,0,0
amount,0,0
applianc,0,0
approach,0,0
aquif,0,0
area,0,0
atmospher,0,0
avail,1,1
away,0,0
becom,0,0
biodivers,0,0
build,0,0
busi,0,0
captur,0,0
carbon,0,0
cell,0,0
centuri,0,0
challeng,0,0
chang,1,1
choos,0,0
circular,0,0
citi,0,0
clean,0,0
climat,1,1
coal,0,0
commerci,0,0
compon,0,0
congest,0,0
conserv,0,0
consid,0,0
consist,0,0
continu,0,0
convert,0,0
cooper,0,0
coral,0,0
creat,0,0
crop,2,1
crucial,0,0
cycl,0,0
demand,0,0
desalin,0,0
design,0,0
dioxid,0,0
dispos,0,0
driven,0,0
droughtresist,1,1
due,0,0
earth,0,0
econom,0,0
economi,0,0
ecosystem,0,0
effect,0,0
effici,0,0
electr,0,0
elimin,0,0
emiss,0,0
emphas,0,0
encourag,0,0
energi,0,0
energyeffici,0,0
ensur,1,1
environment,0,0
equival,0,0
essenti,0,0
event,0,0
express,0,0
extrem,0,0
farm,2,1
fish,0,0
focus,0,0
food,5,1
footprint,0,0
fossil,0,0
frequent,0,0
fresh,0,0
fuel,0,0
futur,0,0
gas,0,0
gase,0,0
generat,0,0
global,1,1
govern,0,0
green,0,0
greenhous,0,0
grow,0,0
growth,0,0
harvest,0,0
health,1,1
heart,0,0
help,1,1
howev,0,0
human,0,0
impact,0,0
implement,0,0
includ,0,0
increas,0,0
infrastructur,0,0
innov,1,1
instal,0,0
intern,0,0
invest,0,0
involv,0,0
key,0,0
kinet,0,0
landscap,0,0
lead,0,0
level,0,0
leverag,0,0
life,0,0
like,0,0
linear,0,0
local,0,0
longterm,1,1
loss,0,0
lower,0,0
maintain,0,0
make,0,0
manag,0,0
mandat,0,0
marin,0,0
materi,0,0
measur,0,0
mechan,0,0
meet,0,0
minim,0,0
mitig,0,0
model,0,0
must,0,0
natur,0,0
nutriti,1,1
ocean,0,0
offshor,0,0
oil,0,0
one,0,0
organ,1,1
overfish,0,0
panel,0,0
pari,0,0
particular,0,0
pattern,0,0
peopl,1,1
photovolta,0,0
plan,0,0
plastic,0,0
play,0,0
polici,0,0
pollut,0,0
popul,0,0
power,0,0
practic,1,1
precipit,0,0
press,0,0
pressur,0,0
priorit,0,0
produc,0,0
product,1,1
promot,0,0
protect,0,0
public,0,0
quieter,0,0
rainwat,0,0
raw,0,0
recycl,0,0
reduc,0,0
reef,0,0
reforest,0,0
regul,0,0
relianc,0,0
renew,0,0
repair,0,0
requir,0,0
residenti,0,0
resili,0,0
resourc,1,1
reus,0,0
rise,0,0
role,0,0
rotat,1,1
safe,1,1
scarciti,0,0
sea,0,0
secur,2,1
set,0,0
shift,0,0
signific,0,0
soil,1,1
solar,0,0
sourc,0,0
space,0,0
stabil,0,0
strategi,0,0
stronger,0,0
subsidi,0,0
suffici,1,1
sun,0,0
suppli,1,1
sustain,1,1
take,0,0
target,0,0
tax,0,0
technolog,0,0
temperatur,0,0
threaten,1,1
ton,0,0
total,0,0
toward,0,0
tradit,0,0
traffic,0,0
transform,0,0
transit,0,0
transport,0,0
turbin,0,0
unlik,0,0
urban,0,0
use,0,0
util,0,0
vertic,1,1
vital,1,1
walk,0,0
warm,0,0
wast,0,0
water,1,1
weather,0,0
wildlif,0,0
wind,0,0
