term,frequency,present
abid,1,1
abil,1,1
abiot,0,0
abnorm,0,0
absurd,1,1
abund,0,0
access,5,1
account,2,1
accumul,1,1
achiev,0,0
acr,1,1
act,1,1
action,2,1
activ,0,0
actual,3,1
adapt,0,0
add,1,1
address,0,0
adequ,0,0
adopt,0,0
advantag,1,1
affect,0,0
afford,1,1
africa,2,1
ago,1,1
agricultur,2,1
ahead,1,1
aim,0,0
air,2,1
alfalfa,4,1
almost,2,1
along,1,1
also,6,1
alter,0,0
alway,3,1
america,0,0
american,3,1
among,0,0
amount,4,1
amphibian,0,0
analysi,0,0
analyst,1,1
analyt,0,0
analyz,0,0
angel,1,1
announc,1,1
anoth,1,1
answer,1,1
anthropogen,0,0
anyth,1,1
anytim,1,1
approach,0,0
appropri,0,0
aquat,0,0
aqueduct,1,1
aquif,3,1
area,1,1
arid,2,1
around,7,1
asia,0,0
aspect,0,0
assembl,0,0
assess,0,0
associ,1,1
assum,0,0
atmospher,0,0
attent,1,1
attribut,0,0
august,1,1
australia,0,0
author,2,1
avail,1,1
averag,1,1
awar,1,1
away,2,1
aztec,2,1
back,5,1
balanc,0,0
bangalor,1,1
bank,1,1
barcelona,1,1
bargain,1,1
barrier,0,0
basic,2,1
basin,0,0
bathtub,1,1
batut,0,0
becam,1,1
becom,3,1
beer,2,1
behav,0,0
behavior,0,0
beij,1,1
belong,0,0
benefit,3,1
better,1,1
big,2,1
biggest,1,1
billion,0,0
biodivers,0,0
biofuel,0,0
biotic,0,0
block,1,1
blue,1,1
bolivia,1,1
bond,1,1
bottl,4,1
bounti,1,1
brackish,1,1
brand,3,1
breakthrough,1,1
breath,1,1
breweri,4,1
briefli,0,0
brush,1,1
budget,1,1
build,1,1
built,2,1
builtup,0,0
burden,1,1
burger,2,1
busi,1,1
buy,1,1
california,1,1
call,1,1
calori,1,1
came,3,1
campaign,0,0
canada,1,1
canal,1,1
cannot,1,1
cant,1,1
cap,0,0
cape,8,1
capit,1,1
capita,1,1
carbon,0,0
care,1,1
caribbean,0,0
carri,1,1
case,0,0
catch,1,1
