term,frequency,present
abandon,2,1
abbott,0,0
abdirahman,1,1
abdulelah,1,1
abid,0,0
abil,2,1
abiot,0,0
abl,2,1
abnett,1,1
abnorm,0,0
aboutcom,2,1
abridg,1,1
absorb,1,1
abstract,1,1
absurd,0,0
abu,4,1
abund,5,1
academ,1,1
academi,1,1
acb,1,1
acceler,4,1
accept,5,1
access,3,1
accord,4,1
account,19,1
accumul,0,0
achiev,5,1
acknowledg,0,0
acquir,1,1
acquisit,1,1
acr,0,0
across,4,1
acsestc,1,1
act,2,1
actinid,1,1
action,5,1
activ,2,1
actual,0,0
actuat,2,1
adag,0,0
adapt,2,1
add,1,1
addit,11,1
address,2,1
adequ,0,0
adjust,0,0
administr,4,1
adopt,7,1
adriana,1,1
advanc,3,1
advantag,2,1
advertis,2,1
advic,1,1
adynkiewiczpiraga,1,1
aerial,2,1
aerodynam,1,1
aerospac,1,1
aesthet,1,1
afework,1,1
affair,1,1
affect,1,1
afford,1,1
afghanistan,1,1
africa,10,1
african,2,1
age,2,1
agenc,30,1
agenda,1,1
agflat,1,1
aggreg,2,1
agn,1,1
agnieszka,1,1
ago,1,1
agre,1,1
agreement,3,1
agricultur,14,1
agrivolta,6,1
ahead,0,0
ahmad,2,1
aim,4,1
air,11,1
airborn,3,1
aircraft,1,1
ajanov,1,1
ajit,1,1
akhtar,1,1
alajban,1,1
alastair,1,1
albania,2,1
albert,1,1
alcohol,2,1
aleh,3,1
alexand,3,1
alfalfa,0,0
alga,6,1
algal,1,1
alhuyi,1,1
ali,3,1
alicja,1,1
alison,2,1
allevi,0,0
allow,4,1
allyson,1,1
almahmoud,1,1
almost,14,1
alon,1,1
along,2,1
alonzotexa,0,0
alreadi,4,1
also,40,1
altamirano,1,1
alter,0,0
altern,9,1
although,8,1
aluminum,3,1
alway,0,0
amanda,1,1
ambros,1,1
amela,1,1
america,6,1
american,4,1
amit,1,1
among,8,1
amori,1,1
amount,12,1
amphibian,0,0
ana,1,1
anabel,1,1
analys,2,1
analysi,12,1
analyst,1,1
analyt,1,1
analyz,0,0
ancestr,1,1
ancient,9,1
ancillari,1,1
ander,1,1
anderson,1,1
andrea,3,1
andrew,4,1
ang,1,1
angel,1,1
angliviel,1,1
angola,1,1
anim,4,1
animalbas,1,1
anna,3,1
annakatharina,1,1
announc,0,0
annual,18,1
annurevenviron,1,1
anoth,1,1
answer,2,1
anthoni,1,1
anthrop,1,1
anthropocen,1,1
anthropogen,0,0
anticonsumer,1,1
antinuclear,1,1
antirenew,1,1
antoni,1,1
anyth,0,0
anytim,0,0
anywher,4,1
apart,3,1
ape,1,1
apenb,1,1
apenl,1,1
app,2,1
appear,1,1
appli,5,1
applic,20,1
approach,2,1
appropri,2,1
approxim,7,1
april,60,1
aquat,0,0
aqueduct,0,0
aquif,0,0
arabia,5,1
arabl,1,1
archer,1,1
archimed,1,1
architectur,8,1
archiv,117,1
arco,3,1
arcolog,1,1
arctictoday,1,1
area,20,1
arent,1,1
arera,1,1
argentina,1,1
argonn,2,1
argument,1,1
arid,0,0
arif,1,1
arjen,1,1
armaroli,2,1
armenia,2,1
armstrong,1,1
arnett,1,1
around,13,1
array,1,1
art,3,1
articl,39,1
artifici,12,1
arundo,1,1
arxiv,3,1
arya,1,1
ashish,1,1
ashley,0,0
asia,4,1
asid,2,1
ask,0,0
aslam,1,1
aspect,0,0
assaf,1,1
assan,1,1
assembl,1,1
assess,10,1
asset,1,1
associ,10,1
assum,1,1
atacama,1,1
atb,6,1
athanasio,1,1
atlant,1,1
atmospher,2,1
atom,1,1
att,1,1
attach,1,1
attack,1,1
attempt,0,0
attent,1,1
attitud,1,1
attract,1,1
attribut,3,1
atul,1,1
auction,1,1
audio,0,0
audit,1,1
august,21,1
australia,8,1
austria,3,1
author,3,1
auto,1,1
auxiliari,1,1
avail,7,1
averag,5,1
aviat,2,1
avoid,0,0
awar,1,1
away,2,1
axi,1,1
ayob,1,1
azevedo,1,1
aztec,0,0
babassu,1,1
back,6,1
backdoor,1,1
bagass,1,1
bakker,1,1
balanc,2,1
balloon,1,1
balzani,2,1
ban,1,1
bangalor,0,0
bangladesh,1,1
bank,10,1
